quarter,year,bitcoin price,gold price
3,2010,0.1,1259.9
4,2010,0.2,1428.06
1,2011,0.71,1402.81
2,2011,8.87,1519.15
3,2011,9.93,1710.02
4,2011,3.24,1693.94
1,2012,5.36,1699.67
2,2012,5.39,1614.48
3,2012,10.26,1654.15
4,2012,12.2,1720.72
1,2013,32.45,1631.14
2,2013,120.3,1417.5
3,2013,113.68,1327.45
4,2013,522.83,1276.03
1,2014,681.15,1293.59
2,2014,521.85,1293.04
3,2014,534.82,1283.92
4,2014,358.21,1205.1
1,2015,250.74,1219.75
2,2015,236.39,1193.56
3,2015,254.45,1126.65
4,2015,344.81,1111.58
1,2016,410.36,1188.91
2,2016,510.29,1270.33
3,2016,612.31,1344.58
4,2016,728.83,1233.73
1,2017,1041.3,1221.23
2,2017,1934.02,1258.56
3,2017,3511.01,1293.12
4,2017,9341.88,1292.74
1,2018,10400.49,1330.07
2,2018,7746.51,1308.05
3,2018,6806.91,1212.86
4,2018,5273.24,1230.84
1,2019,3757.0,1339.37
2,2019,7213.66,1337.91
3,2019,10397.12,1495.88
4,2019,7990.42,1496.25
1,2020,8290.23,1588.01
2,2020,8692.47,1729.2
3,2020,10656.88,1913.69
4,2020,16806.15,1877.18
1,2021,45037.67,1797.46
